Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,48.365002,49.494999,48.365002,49.244999,42.130192,1051557
2012-01-03,49.404999,49.799999,48.970001,49.790001,42.596455,1440939
2012-01-04,49.275002,49.695000,48.540001,48.584999,41.565548,1779269
2012-01-05,49.345001,49.345001,48.290001,48.430000,41.432941,1582195
2012-01-06,48.360001,48.895000,48.029999,48.264999,41.291782,1277092
2012-01-09,48.419998,49.215000,48.294998,48.980000,41.903481,1301104
2012-01-10,48.974998,49.455002,48.794998,48.889999,41.826481,2321184
2012-01-11,48.990002,49.009998,48.099998,48.384998,41.394440,1910108
2012-01-12,48.695000,48.695000,47.520000,47.560001,40.688641,1807444
2012-01-13,47.799999,48.099998,46.744999,47.044998,40.248039,1960502
2012-01-16,46.869999,47.169998,46.529999,46.884998,40.111160,1631471
2012-01-17,47.389999,47.990002,46.970001,47.200001,40.380650,2259021
2012-01-18,47.654999,47.755001,46.099998,46.299999,39.610680,2841153
2012-01-19,46.450001,46.955002,45.930000,46.950001,40.166767,2527265
2012-01-20,47.150002,47.880001,46.915001,47.494999,40.633030,2901956
2012-01-23,47.669998,47.674999,46.930000,47.029999,40.235207,1495306
2012-01-24,47.000000,47.610001,46.764999,47.310001,40.474758,1508225
2012-01-25,47.525002,47.715000,47.314999,47.365002,40.521812,2595439
2012-01-26,47.509998,47.810001,47.310001,47.639999,40.757080,1684151
2012-01-27,47.630001,47.834999,46.860001,46.935001,40.153938,1784269
2012-01-30,46.980000,47.384998,46.514999,46.715000,39.965721,2116475
2012-01-31,46.910000,47.279999,46.700001,47.185001,40.367821,1379085
2012-02-01,47.955002,47.990002,47.514999,47.974998,41.043678,2031703
2012-02-02,48.005001,48.099998,47.200001,47.279999,40.449093,2528603
2012-02-03,47.325001,48.755001,47.224998,48.625000,41.599770,2285904
2012-02-06,48.779999,48.955002,48.130001,48.410000,41.415836,1420584
2012-02-07,48.544998,49.180000,48.294998,48.865002,41.805092,1289612
2012-02-08,48.974998,49.029999,48.419998,48.584999,41.565548,1081636
2012-02-09,48.584999,49.000000,48.540001,48.799999,41.749489,956069
2012-02-10,48.555000,49.000000,48.470001,48.470001,41.467163,1337110
2012-02-13,48.549999,48.610001,48.205002,48.450001,41.450050,1210206
2012-02-14,48.360001,48.994999,48.240002,48.994999,41.916313,1736586
2012-02-15,49.189999,50.099998,49.000000,49.910000,42.699116,2626016
2012-02-16,50.000000,50.529999,49.720001,50.009998,42.784664,2529487
2012-02-17,50.259998,50.410000,49.599998,49.740002,42.553677,1860380
2012-02-20,49.919998,50.389999,49.750000,50.389999,43.109764,1331298
2012-02-21,50.500000,50.590000,49.985001,50.320000,43.049877,1201819
2012-02-22,50.310001,50.419998,50.099998,50.110001,42.870216,1107848
2012-02-23,50.110001,50.700001,50.099998,50.700001,43.374977,1350204
2012-02-24,50.889999,50.900002,50.320000,50.700001,43.374977,1450595
2012-02-27,50.480000,50.900002,50.349998,50.799999,43.460529,1186475
2012-02-28,50.900002,50.980000,50.389999,50.700001,43.374977,1565886
2012-02-29,50.810001,51.000000,50.599998,50.779999,43.443417,1486125
2012-03-01,50.689999,51.380001,50.689999,51.299999,43.888290,1239510
2012-03-02,51.299999,51.470001,50.959999,50.959999,43.597412,1023305
2012-03-05,50.919998,51.730000,50.900002,51.730000,44.256165,1515284
2012-03-06,51.619999,51.619999,50.580002,50.580002,43.272316,1894810
2012-03-07,50.610001,51.549999,50.580002,51.549999,44.102173,1703742
2012-03-08,51.580002,52.500000,51.450001,52.380001,44.812256,1896206
2012-03-09,52.330002,52.599998,52.080002,52.279999,44.726704,1551332
2012-03-12,52.060001,52.889999,52.049999,52.799999,45.171574,1562356
2012-03-13,52.880001,53.389999,52.790001,53.299999,45.599335,1480852
2012-03-14,53.410000,53.459999,52.869999,52.919998,45.274235,1860632
2012-03-15,52.700001,52.889999,52.419998,52.740002,45.120247,1692677
2012-03-16,52.610001,53.139999,52.369999,52.970001,45.317017,2208502
2012-03-19,52.759998,52.759998,52.090000,52.150002,44.615486,1473532
2012-03-20,51.980000,52.130001,51.630001,51.840000,44.350273,1136344
2012-03-21,51.900002,51.990002,50.910000,51.200001,43.802742,2351502
2012-03-22,50.900002,51.750000,50.799999,51.419998,43.990952,1831410
2012-03-23,51.310001,51.500000,51.020000,51.180000,43.785622,1142384
2012-03-26,51.290001,51.900002,51.000000,51.849998,44.358826,1230333
2012-03-27,51.790001,52.340000,51.790001,52.080002,44.555599,1596843
2012-03-28,52.340000,53.000000,52.230000,52.290001,44.735256,2005393
2012-03-29,52.230000,52.529999,51.820000,51.849998,44.358826,1708245
2012-03-30,52.299999,52.340000,51.970001,52.299999,44.743809,2153758
2012-04-02,52.200001,53.000000,52.189999,53.000000,45.342674,1332347
2012-04-03,52.759998,52.880001,52.430000,52.680000,45.068913,1598894
2012-04-04,52.500000,52.590000,51.680000,51.939999,44.435825,1865169
2012-04-05,51.860001,51.980000,51.380001,51.630001,44.170616,1380553
2012-04-10,51.630001,51.630001,50.000000,50.000000,42.776112,2291238
2012-04-11,50.549999,50.610001,49.730000,50.459999,43.169655,1804214
2012-04-12,50.709999,51.090000,50.320000,50.860001,43.511860,1912053
2012-04-13,50.709999,50.830002,50.020000,50.259998,42.998547,2190325
2012-04-16,50.020000,51.889999,49.924999,51.580002,44.127834,2934238
2012-04-17,53.000000,53.240002,52.310001,53.080002,45.411121,3361695
2012-04-18,53.400002,54.139999,53.180000,53.880001,46.095539,2918623
2012-04-19,54.310001,54.810001,54.099998,54.360001,46.506187,4527260
2012-04-20,54.200001,54.360001,51.990002,52.430000,44.855030,5625318
2012-04-23,53.500000,54.259998,52.939999,53.130001,45.453899,3735095
2012-04-24,53.209999,54.049999,53.040001,53.939999,46.146866,2099424
2012-04-25,54.049999,54.590000,53.770000,54.310001,46.463417,2341143
2012-04-26,54.000000,54.619999,53.669998,53.959999,46.163975,2152158
2012-04-27,53.540001,53.889999,53.209999,53.680000,45.924438,1539807
2012-04-30,53.680000,53.680000,53.150002,53.150002,45.471004,1300051
2012-05-02,53.150002,53.860001,53.150002,53.799999,46.027100,1769823
2012-05-03,53.500000,54.709999,53.450001,54.389999,46.531857,2034522
2012-05-04,54.180000,54.959999,53.820000,53.919998,46.129757,2205990
2012-05-07,52.980000,54.730000,52.970001,54.700001,46.797066,2034867
2012-05-08,52.680000,53.029999,51.930000,52.150002,45.778786,4886679
2012-05-09,52.340000,52.340000,51.520000,52.090000,45.726116,4457023
2012-05-10,52.119999,52.299999,51.139999,51.660000,45.348648,1906077
2012-05-11,51.740002,53.270000,51.590000,53.130001,46.639053,6594705
2012-05-14,52.529999,52.810001,52.080002,52.240002,45.857788,1836826
2012-05-15,52.540001,53.110001,52.230000,52.880001,46.419601,5720007
2012-05-16,52.580002,52.970001,52.180000,52.450001,46.042137,1643998
2012-05-17,52.500000,52.540001,51.959999,51.959999,45.611996,1085691
2012-05-18,51.650002,51.869999,51.180000,51.349998,45.076519,2457650
2012-05-21,51.139999,52.230000,51.060001,51.900002,45.559326,1275101
2012-05-22,51.889999,52.279999,51.160000,51.790001,45.462765,1885208
2012-05-23,51.500000,51.869999,50.869999,51.080002,44.839512,1561659
2012-05-24,51.459999,51.830002,50.889999,51.689999,45.374981,1261155
2012-05-25,51.840000,52.110001,51.310001,51.779999,45.453987,1103548
2012-05-28,52.099998,52.669998,51.459999,51.610001,45.304756,701486
2012-05-29,51.799999,52.549999,51.799999,52.320000,45.928017,1140126
2012-05-30,52.049999,52.799999,51.590000,51.630001,45.322315,2085509
2012-05-31,51.689999,52.250000,51.259998,51.889999,45.550549,2646117
2012-06-01,51.950001,52.029999,50.250000,50.560001,44.383030,3094425
2012-06-04,50.330002,50.889999,50.119999,50.369999,44.216244,1087419
2012-06-05,50.570000,51.169998,50.520000,50.939999,44.716606,993397
2012-06-06,51.189999,51.880001,50.689999,51.250000,44.988739,2366550
2012-06-07,51.110001,51.459999,50.650002,50.770000,44.567379,2614080
2012-06-08,50.680000,51.599998,50.590000,51.250000,44.988739,1855397
2012-06-11,51.639999,52.299999,51.520000,51.549999,45.252083,1652159
2012-06-12,51.700001,52.369999,51.369999,51.750000,45.427654,1531166
2012-06-13,52.009998,52.320000,51.700001,51.970001,45.620773,1472384
2012-06-14,51.660000,52.369999,51.660000,52.299999,45.910454,1843240
2012-06-15,52.470001,52.700001,51.840000,52.080002,45.717335,3809758
2012-06-18,52.250000,52.619999,51.650002,51.830002,45.497883,1960009
2012-06-19,48.200001,48.994999,47.514999,48.700001,42.750271,9557007
2012-06-20,48.605000,48.695000,47.720001,47.935001,42.078735,3653961
2012-06-21,47.935001,48.244999,46.770000,47.830002,41.986565,5904917
2012-06-22,47.735001,48.224998,47.349998,47.715000,41.885612,2637581
2012-06-25,47.430000,47.564999,46.450001,46.779999,41.064842,2941610
2012-06-26,47.075001,47.544998,46.849998,47.070000,41.319412,1886567
2012-06-27,46.915001,47.500000,46.855000,47.430000,41.635426,1748075
2012-06-28,47.430000,47.665001,47.020000,47.349998,41.565205,1851235
2012-06-29,48.209999,49.014999,47.845001,49.014999,43.026791,3417280
2012-07-02,49.099998,49.400002,48.470001,49.400002,43.364754,2978708
2012-07-03,49.500000,50.299999,49.064999,50.299999,44.154797,2884236
2012-07-04,50.320000,50.869999,50.200001,50.849998,44.637604,1928847
2012-07-05,50.770000,51.150002,49.805000,50.040001,43.926563,2665731
2012-07-06,49.915001,50.209999,49.770000,49.830002,43.742218,1559413
2012-07-09,49.799999,50.049999,49.320000,49.360001,43.329639,1513248
2012-07-10,49.605000,50.419998,49.220001,50.009998,43.900227,1837466
2012-07-11,49.875000,49.965000,49.195000,49.419998,43.382305,1441130
2012-07-12,49.330002,49.549999,49.000000,49.520000,43.470093,1522661
2012-07-13,49.555000,49.959999,49.494999,49.830002,43.742218,1268096
2012-07-16,49.685001,49.845001,49.480000,49.695000,43.623714,786616
2012-07-17,49.790001,50.310001,49.674999,50.180000,44.049461,1099849
2012-07-18,50.450001,50.880001,50.330002,50.730000,44.532261,1414930
2012-07-19,50.830002,51.060001,50.689999,50.860001,44.646381,1597225
2012-07-20,50.639999,51.189999,50.389999,50.500000,44.330364,2242160
2012-07-23,49.959999,50.000000,48.865002,48.865002,42.895119,2328284
2012-07-24,48.849998,49.110001,48.000000,48.000000,42.135792,2547998
2012-07-25,47.900002,48.139999,46.625000,46.955002,41.218464,3503683
