Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,30.450001,31.290001,30.240000,31.290001,24.985613,2454403
2012-01-03,31.600000,31.600000,30.410000,31.334999,25.021544,3984078
2012-01-04,30.940001,31.440001,30.450001,30.650000,24.474558,3632129
2012-01-05,30.745001,30.799999,28.719999,29.000000,23.157005,5854251
2012-01-06,29.125000,29.270000,28.260000,28.455000,22.721811,4397556
2012-01-09,28.600000,29.059999,27.514999,27.895000,22.274645,4489761
2012-01-10,28.285000,29.705000,28.200001,29.584999,23.624136,5121505
2012-01-11,29.834999,30.549999,29.510000,30.000000,23.955523,5018439
2012-01-12,30.520000,32.480000,30.209999,31.010000,24.762026,8569021
2012-01-13,31.940001,32.689999,31.205000,31.790001,25.384871,8829788
2012-01-16,30.959999,32.575001,30.549999,32.305000,25.796106,4554576
2012-01-17,33.099998,33.869999,32.150002,32.490002,25.943834,7166269
2012-01-18,33.000000,33.369999,31.820000,32.060001,25.600468,7763450
2012-01-19,32.990002,35.040001,32.500000,34.700001,27.708553,16017741
2012-01-20,34.884998,35.939999,34.150002,35.325001,28.207630,11863167
2012-01-23,35.880001,36.599998,35.424999,36.049999,28.786554,9135323
2012-01-24,35.945000,36.125000,34.889999,35.389999,28.259529,8258071
2012-01-25,35.590000,36.080002,34.160000,35.790001,28.578941,6720276
2012-01-26,36.235001,36.584999,35.805000,35.805000,28.590918,6436026
2012-01-27,35.000000,35.090000,34.169998,34.639999,27.660645,6515692
2012-01-30,33.875000,33.875000,32.105000,32.174999,25.692299,9262340
2012-01-31,33.099998,33.494999,32.299999,32.369999,25.848011,6033881
2012-02-01,32.494999,33.994999,32.480000,33.845001,27.025824,6857773
2012-02-02,34.224998,34.480000,33.355000,34.099998,27.229445,4733757
2012-02-03,34.299999,35.419998,33.900002,35.200001,28.107815,6997367
2012-02-06,34.805000,35.200001,34.055000,34.990002,27.940126,4354953
2012-02-07,35.250000,35.889999,34.799999,35.735001,28.535021,4215612
2012-02-08,36.445000,37.099998,36.070000,36.150002,28.866407,7593018
2012-02-09,36.195000,37.255001,36.195000,36.544998,29.181816,5939612
2012-02-10,35.775002,36.525002,34.799999,35.049999,27.988035,6448848
2012-02-13,35.700001,35.889999,33.775002,34.325001,27.409113,6490602
2012-02-14,33.619999,34.224998,32.794998,33.514999,26.762314,7887976
2012-02-15,35.000000,36.099998,34.410000,34.884998,27.856279,12393075
2012-02-16,34.285000,36.035000,33.904999,35.855000,28.630840,9145333
2012-02-17,36.855000,37.119999,36.345001,36.880001,29.449324,8753792
2012-02-20,37.400002,37.860001,36.529999,37.165001,29.676899,6401065
2012-02-21,37.355000,38.084999,36.750000,37.455002,29.908472,6455773
2012-02-22,37.764999,38.000000,36.334999,36.400002,29.066034,6773908
2012-02-23,36.090000,37.200001,35.630001,36.299999,28.986183,5929117
2012-02-24,36.720001,37.259998,36.360001,36.919998,29.481264,5069531
2012-02-27,36.799999,36.884998,35.810001,36.590000,29.217756,5141206
2012-02-28,36.799999,37.259998,36.005001,36.615002,29.237717,5729964
2012-02-29,36.880001,37.790001,36.520000,36.634998,29.253685,7535368
2012-03-01,36.500000,37.575001,36.005001,37.355000,29.828619,6592232
2012-03-02,37.599998,38.459999,37.575001,37.915001,30.275791,5863072
2012-03-05,37.525002,37.849998,37.009998,37.395000,29.860563,5073313
2012-03-06,37.195000,37.294998,35.000000,35.000000,27.948112,9670739
2012-03-07,35.000000,35.860001,34.980000,35.665001,28.479128,5848152
2012-03-08,36.485001,37.380001,36.209999,37.000000,29.545145,8538085
2012-03-09,37.424999,37.595001,36.779999,36.945000,29.501226,5975364
2012-03-12,36.584999,37.174999,36.230000,36.575001,29.205776,5299533
2012-03-13,36.875000,37.500000,36.855000,37.419998,29.880522,5603609
2012-03-14,37.939999,38.945000,37.860001,38.480000,30.726952,10110926
2012-03-15,38.639999,39.064999,38.139999,38.939999,31.094267,6744966
2012-03-16,38.775002,39.480000,38.700001,39.000000,31.142179,8002426
2012-03-19,38.955002,39.250000,38.610001,39.064999,31.194082,4410456
2012-03-20,38.910000,38.985001,37.985001,38.330002,30.607176,4598745
2012-03-21,38.575001,38.955002,37.439999,38.000000,30.343662,4699275
2012-03-22,37.974998,37.974998,36.810001,37.049999,29.585072,5771880
2012-03-23,37.049999,37.880001,36.654999,37.455002,29.908472,5633176
2012-03-26,37.990002,38.005001,36.660000,37.580002,30.008289,4660935
2012-03-27,37.955002,38.494999,37.145000,37.384998,29.852573,5273972
2012-03-28,37.200001,37.520000,36.750000,36.900002,29.465292,5209221
2012-03-29,36.700001,37.334999,35.599998,35.685001,28.495094,6927725
2012-03-30,36.105000,36.415001,34.889999,35.575001,28.407259,7307524
2012-04-02,35.785000,36.000000,34.360001,35.700001,28.507076,6670729
2012-04-03,35.869999,36.145000,34.634998,34.700001,27.708553,5889005
2012-04-04,34.009998,34.380001,32.840000,33.189999,26.502792,10681207
2012-04-05,33.490002,33.740002,32.060001,32.875000,26.251259,8663541
2012-04-10,32.875000,32.875000,30.879999,30.995001,24.750048,9574972
2012-04-11,30.799999,32.450001,30.745001,31.254999,24.957663,9186839
2012-04-12,31.840000,32.075001,30.809999,32.075001,25.612448,8397079
2012-04-13,32.000000,32.259998,30.254999,30.400000,24.274927,8590729
2012-04-16,30.200001,30.305000,28.680000,29.000000,23.157005,12535552
2012-04-17,29.000000,31.165001,28.860001,30.990000,24.746056,10780308
2012-04-18,30.995001,31.584999,29.330000,30.000000,23.955523,9279893
2012-04-19,30.240000,30.730000,28.500000,28.555000,22.801666,11966951
2012-04-20,28.860001,30.094999,28.420000,29.605000,23.640108,10546750
2012-04-23,29.030001,29.264999,28.150000,28.400000,22.677895,7984992
2012-04-24,28.395000,29.459999,27.924999,29.240000,23.348650,8826342
2012-04-25,29.615000,31.500000,29.500000,30.875000,24.654226,12207607
2012-04-26,30.950001,31.200001,29.570000,30.590000,24.426649,9081479
2012-04-27,29.555000,31.490000,29.285000,31.045000,24.789974,7327846
2012-04-30,31.129999,31.445000,30.200001,30.350000,24.235006,5370647
2012-05-02,30.350000,31.150000,29.594999,30.045000,23.991457,8048635
2012-05-03,30.150000,30.650000,28.885000,29.094999,23.232864,9468754
2012-05-04,28.910000,30.070000,28.209999,28.990000,23.149019,10384957
2012-05-07,27.799999,30.400000,27.799999,30.209999,24.123211,8392216
2012-05-08,29.540001,30.240000,28.830000,29.065001,23.208912,8433760
2012-05-09,29.084999,29.270000,27.700001,28.375000,22.657934,9727256
2012-05-10,28.820000,29.445000,28.004999,29.045000,23.192940,9381267
2012-05-11,28.605000,28.830000,27.850000,28.670000,22.893494,7771356
2012-05-14,27.910000,27.985001,27.280001,27.620001,22.055052,7734192
2012-05-15,27.690001,27.950001,26.514999,26.840000,21.432207,9112871
2012-05-16,26.500000,27.150000,25.969999,26.530001,21.184669,12715713
2012-05-17,26.500000,26.700001,25.410000,25.480000,20.346224,9153230
2012-05-18,25.049999,26.790001,24.850000,26.230000,20.945112,12472699
2012-05-21,26.055000,26.700001,25.674999,26.285000,20.989033,8215159
2012-05-22,26.850000,27.385000,26.299999,27.110001,21.647806,8630113
2012-05-23,26.645000,26.805000,26.105000,26.240000,20.953098,7223068
2012-05-24,26.600000,27.094999,25.934999,26.670000,21.296459,6828915
2012-05-25,26.790001,27.275000,26.365000,26.580000,21.224594,6191337
2012-05-28,26.865000,27.219999,26.235001,26.295000,20.997017,4173425
2012-05-29,26.580000,26.690001,25.760000,26.275000,20.981043,5560984
2012-05-30,24.885000,25.870001,24.535000,24.955000,20.880640,10260387
2012-05-31,25.100000,25.725000,24.990000,25.725000,21.524921,11291560
2012-06-01,25.940001,26.450001,25.575001,25.910000,21.679718,14695258
2012-06-04,25.615000,27.110001,25.594999,26.785000,22.411858,9778224
2012-06-05,27.115000,27.719999,27.000000,27.420000,22.943182,9642512
2012-06-06,27.745001,28.700001,27.424999,28.580000,23.913792,13453135
