Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,10.075000,10.435000,10.070000,10.430000,7.338706,4434951
2012-01-03,10.500000,10.645000,10.235000,10.580000,7.444249,6906155
2012-01-04,10.545000,10.635000,10.250000,10.400000,7.317597,5536626
2012-01-05,10.375000,10.390000,9.801000,9.890000,6.958754,10980532
2012-01-06,9.990000,10.140000,9.710000,9.800000,6.895428,5193734
2012-01-09,9.800000,9.890000,9.392000,9.544000,6.715303,7806449
2012-01-10,9.750000,10.265000,9.710000,10.265000,7.222609,10979103
2012-01-11,10.300000,10.535000,10.155000,10.405000,7.321116,10033492
2012-01-12,10.400000,10.900000,10.395000,10.475000,7.370369,12321732
2012-01-13,10.700000,10.840000,10.195000,10.500000,7.387958,10069175
2012-01-16,10.400000,10.650000,10.300000,10.535000,7.412586,7228347
2012-01-17,10.755000,11.045000,10.725000,10.860000,7.641260,11217180
2012-01-18,10.975000,11.275000,10.670000,10.975000,7.722176,10636869
2012-01-19,11.170000,11.870000,11.105000,11.670000,8.211188,19992079
2012-01-20,11.700000,11.990000,11.515000,11.920000,8.387093,15085568
2012-01-23,11.980000,12.380000,11.870000,12.050000,8.478562,11526038
2012-01-24,11.960000,12.090000,11.745000,11.940000,8.401166,7713009
2012-01-25,12.040000,12.050000,11.660000,11.940000,8.401166,6104729
2012-01-26,12.100000,12.200000,11.860000,12.075000,8.496154,8829687
2012-01-27,11.970000,12.050000,11.765000,11.950000,8.408200,9392171
2012-01-30,11.800000,11.835000,11.390000,11.545000,8.123237,12817250
2012-01-31,11.655000,11.740000,11.495000,11.605000,8.165453,7362697
2012-02-01,11.825000,12.295000,11.770000,12.270000,8.633357,18360568
2012-02-02,12.400000,12.570000,12.070000,12.480000,8.781116,11838734
2012-02-03,12.405000,12.800000,12.290000,12.720000,8.949985,10970994
2012-02-06,12.635000,12.720000,12.405000,12.655000,8.904249,6716004
2012-02-07,12.785000,12.860000,12.450000,12.660000,8.907767,7537520
2012-02-08,12.810000,12.910000,12.645000,12.655000,8.904249,8319815
2012-02-09,12.690000,12.920000,12.620000,12.660000,8.907767,7780460
2012-02-10,12.500000,12.570000,12.140000,12.350000,8.689647,11047726
2012-02-13,12.640000,12.640000,12.230000,12.420000,8.738899,7262928
2012-02-14,12.230000,12.325000,12.005000,12.170000,8.562996,9904275
2012-02-15,12.360000,12.390000,12.105000,12.215000,8.594660,7281062
2012-02-16,11.620000,12.060000,11.560000,12.060000,8.485599,17935955
2012-02-17,12.290000,12.450000,12.200000,12.305000,8.657985,11066755
2012-02-20,12.445000,12.620000,12.420000,12.520000,8.809262,8746282
2012-02-21,12.630000,12.645000,12.305000,12.450000,8.760008,9780137
2012-02-22,12.425000,12.500000,12.180000,12.270000,8.633357,9522100
2012-02-23,12.200000,12.380000,11.985000,12.150000,8.548924,9374732
2012-02-24,12.235000,12.305000,12.030000,12.125000,8.531333,6433673
2012-02-27,12.080000,12.085000,11.770000,12.025000,8.460971,7425880
2012-02-28,12.095000,12.210000,11.880000,12.000000,8.443382,7474942
2012-02-29,12.100000,12.250000,12.045000,12.105000,8.517262,9858917
2012-03-01,12.110000,12.335000,12.000000,12.330000,8.675574,8555378
2012-03-02,12.360000,12.490000,12.335000,12.390000,8.717792,7114838
2012-03-05,12.300000,12.385000,12.200000,12.320000,8.668538,5530634
2012-03-06,12.235000,12.245000,11.725000,11.725000,8.249887,12665934
2012-03-07,11.710000,11.900000,11.615000,11.830000,8.323768,9866897
2012-03-08,11.920000,12.100000,11.805000,11.975000,8.425791,10468152
2012-03-09,12.080000,12.110000,11.885000,11.960000,8.415237,8101410
2012-03-12,11.925000,12.025000,11.850000,11.940000,8.401166,6025308
2012-03-13,12.045000,12.275000,12.010000,12.220000,8.598178,8714336
2012-03-14,12.315000,12.790000,12.310000,12.670000,8.914804,19256499
2012-03-15,12.730000,12.980000,12.705000,12.930000,9.097744,13959284
2012-03-16,12.955000,13.210000,12.940000,13.180000,9.273649,20128802
2012-03-19,13.200000,13.250000,13.020000,13.210000,9.294756,6687843
2012-03-20,13.155000,13.175000,12.885000,13.005000,9.150516,9681089
2012-03-21,13.090000,13.180000,12.670000,12.780000,8.992202,11783648
2012-03-22,12.705000,12.790000,12.495000,12.645000,8.897214,9678681
2012-03-23,12.670000,12.840000,12.455000,12.725000,8.953505,9202140
2012-03-26,12.795000,12.915000,12.475000,12.825000,9.023864,9732606
2012-03-27,12.865000,13.060000,12.780000,12.835000,9.030901,9273890
2012-03-28,12.780000,13.030000,12.640000,12.660000,8.907767,9013315
2012-03-29,12.585000,12.775000,12.280000,12.360000,8.696683,12049278
2012-03-30,12.465000,12.515000,12.270000,12.430000,8.745936,8291366
2012-04-02,12.385000,12.505000,12.165000,12.480000,8.781116,9733865
2012-04-03,12.500000,12.585000,12.105000,12.145000,8.545406,10323291
2012-04-04,12.090000,12.090000,11.655000,11.715000,8.242851,16639061
2012-04-05,11.820000,11.875000,11.435000,11.680000,8.218225,9562653
2012-04-10,11.680000,11.680000,11.110000,11.110000,7.817164,14528834
2012-04-11,11.040000,11.455000,11.040000,11.210000,7.887526,11193756
2012-04-12,11.270000,11.305000,10.880000,11.265000,7.926225,12629522
2012-04-13,11.180000,11.320000,10.800000,10.840000,7.627189,10427983
2012-04-16,10.800000,10.950000,10.445000,10.700000,7.528682,12945956
2012-04-17,10.630000,11.075000,10.620000,11.070000,7.789020,12366649
2012-04-18,11.030000,11.165000,10.715000,10.835000,7.623671,11405595
2012-04-19,10.865000,10.970000,10.275000,10.320000,7.261308,17653947
2012-04-20,10.350000,10.765000,10.240000,10.695000,7.525163,13649824
2012-04-23,10.485000,10.500000,10.130000,10.175000,7.159284,13424685
2012-04-24,10.230000,10.475000,10.055000,10.395000,7.314079,9744981
