Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,8.538000,8.950000,8.520000,8.935000,6.573403,2453926
2012-01-03,8.931000,8.944000,8.676000,8.836000,6.500570,3288967
2012-01-04,8.803000,8.820000,8.487000,8.487000,6.243814,3166757
2012-01-05,8.542000,8.542000,8.164000,8.211000,6.040763,3791249
2012-01-06,8.280000,8.400000,8.073000,8.128000,5.979700,3355732
2012-01-09,8.191000,8.226000,7.928000,7.984000,5.873760,2525005
2012-01-10,8.085000,8.285000,8.020000,8.198000,6.031199,3110639
2012-01-11,8.159000,8.352000,8.130000,8.212000,6.041498,2284999
2012-01-12,8.276000,8.547000,8.240000,8.430000,6.201879,3236903
2012-01-13,8.516000,8.600000,8.222000,8.370000,6.157738,2291293
2012-01-16,8.305000,8.530000,8.262000,8.509000,6.259998,1654958
2012-01-17,8.600000,8.746000,8.520000,8.614000,6.337246,3251913
2012-01-18,8.568000,8.580000,8.105000,8.139000,5.987792,6571756
2012-01-19,8.152000,8.200000,7.875000,8.080000,5.944387,6190036
2012-01-20,8.134000,8.160000,8.015000,8.124000,5.976757,3243002
2012-01-23,8.151000,8.160000,7.921000,7.952000,5.850218,4270592
2012-01-24,7.960000,8.226000,7.952000,8.226000,6.051797,4464911
2012-01-25,8.280000,8.374000,8.064000,8.206000,6.037084,3016300
2012-01-26,8.260000,8.659000,8.215000,8.627000,6.346810,5297618
2012-01-27,8.602000,8.740000,8.427000,8.600000,6.326947,4181889
2012-01-30,8.582000,8.582000,8.230000,8.236000,6.059155,3539259
2012-01-31,8.480000,8.734000,8.360000,8.688000,6.391687,5949064
2012-02-01,8.731000,9.210000,8.687000,9.190000,6.761004,7517735
2012-02-02,9.228000,9.364000,8.924000,9.228000,6.788960,5309679
2012-02-03,9.209000,9.489000,9.153000,9.482000,6.975826,4169343
2012-02-06,9.479000,9.677000,9.370000,9.610000,7.069994,4338368
2012-02-07,9.650000,9.786000,9.410000,9.671000,7.114872,3672635
2012-02-08,9.719000,9.748000,9.519000,9.627000,7.082501,3051479
2012-02-09,9.651000,9.669000,9.301000,9.469000,6.966263,5133971
2012-02-10,9.429000,9.620000,9.325000,9.413000,6.925064,3005915
2012-02-13,9.500000,9.690000,9.436000,9.485000,6.978033,2092592
2012-02-14,9.395000,9.591000,9.253000,9.318000,6.855172,2839439
2012-02-15,9.412000,9.477000,9.153000,9.175000,6.749969,2994145
2012-02-16,9.149000,9.324000,9.035000,9.314000,6.852230,3917285
2012-02-17,9.332000,9.610000,9.315000,9.586000,7.052339,3705548
2012-02-20,9.659000,9.663000,9.129000,9.290000,6.834573,7759416
2012-02-21,9.335000,9.340000,9.061000,9.208000,6.774248,5039831
2012-02-22,9.210000,9.300000,9.090000,9.090000,6.687436,2869733
2012-02-23,9.052000,9.183000,8.844000,8.929000,6.568989,3826956
2012-02-24,9.015000,9.120000,8.918000,9.060000,6.665365,2755823
2012-02-27,8.915000,9.031000,8.748000,8.985000,6.610188,4173167
2012-02-28,9.014000,9.105000,8.865000,8.997000,6.619016,3168832
2012-02-29,8.985000,9.325000,8.983000,9.185000,6.757327,6282753
2012-03-01,9.440000,10.585000,9.440000,10.550000,7.761545,17759304
2012-03-02,10.530000,11.270000,10.530000,11.050000,8.129391,8700814
2012-03-05,10.975000,11.040000,10.765000,10.945000,8.052143,4404285
2012-03-06,10.860000,10.865000,10.415000,10.415000,7.662226,5378361
2012-03-07,10.365000,10.645000,10.345000,10.560000,7.768902,3386762
2012-03-08,10.665000,11.025000,10.570000,11.000000,8.092607,4956084
2012-03-09,11.040000,11.420000,10.925000,11.305000,8.316992,4779850
2012-03-12,11.360000,11.770000,11.345000,11.495000,8.456773,5016058
2012-03-13,11.620000,11.970000,11.570000,11.915000,8.765763,5078882
2012-03-14,12.000000,12.225000,11.945000,12.010000,8.835654,4538716
2012-03-15,12.040000,12.220000,11.925000,12.140000,8.931294,4375924
2012-03-16,12.330000,13.055000,12.230000,12.755000,9.383744,9328908
2012-03-19,12.820000,13.000000,12.595000,12.755000,9.383744,3960835
2012-03-20,12.650000,12.720000,12.425000,12.520000,9.210857,3200016
2012-03-21,12.720000,12.980000,12.340000,12.595000,9.266034,3153201
2012-03-22,12.535000,12.580000,12.150000,12.270000,9.026934,3226145
2012-03-23,12.380000,12.400000,12.075000,12.200000,8.975434,2737627
2012-03-26,12.340000,12.630000,12.115000,12.555000,9.236607,2381917
2012-03-27,12.700000,12.975000,12.615000,12.760000,9.387423,3090191
2012-03-28,12.660000,12.760000,12.300000,12.345000,9.082111,3243252
2012-03-29,12.310000,12.580000,12.090000,12.215000,8.986472,3645264
2012-03-30,12.240000,12.525000,12.215000,12.435000,9.148324,2510070
2012-04-02,12.555000,12.615000,12.050000,12.415000,9.133609,2895275
2012-04-03,12.450000,12.450000,11.920000,11.920000,8.769442,4161011
2012-04-04,11.835000,11.835000,11.265000,11.305000,8.316992,7067498
2012-04-05,11.390000,11.390000,10.825000,11.210000,8.247102,5189059
2012-04-10,11.210000,11.405000,10.875000,10.975000,8.074213,4572654
2012-04-11,10.915000,11.230000,10.890000,11.125000,8.184567,4017348
2012-04-12,11.070000,11.250000,10.660000,11.205000,8.243423,4899096
2012-04-13,11.120000,11.175000,10.615000,10.770000,7.923397,4352115
2012-04-16,10.730000,10.915000,10.595000,10.680000,7.857184,3278049
2012-04-17,10.690000,11.140000,10.660000,11.020000,8.107320,3684256
2012-04-18,10.965000,11.050000,10.670000,10.765000,7.919718,3351365
