Date,Open,High,Low,Close,Adj Close,Volume
2001-12-14,16.462999,16.508101,15.813500,15.813500,-106.827812,46567046
2001-12-17,15.948800,16.147301,15.831600,16.147301,-109.082779,5408556
2001-12-18,16.048100,16.138300,15.840600,15.966900,-107.864090,3924970
2001-12-19,15.813500,15.966900,15.786500,15.912800,-107.498619,5224313
2001-12-20,15.813500,15.903700,15.795500,15.813500,-106.827812,3055169
2001-12-21,15.795500,16.192400,15.795500,16.192400,-109.387459,3151014
2001-12-24,16.156300,16.192400,15.930800,16.057100,-108.473442,337281
2001-12-25,null,null,null,null,null,null
2001-12-26,null,null,null,null,null,null
2001-12-27,16.011999,16.011999,15.930800,16.011999,-108.168755,960771
2001-12-28,15.921800,16.048100,15.822500,16.048100,-108.412643,708290
2001-12-31,null,null,null,null,null,null
2002-01-01,null,null,null,null,null,null
2002-01-02,16.039000,16.138300,15.903700,15.966900,-107.864090,772357
2002-01-03,16.011999,16.048100,15.930800,15.993900,-108.046486,800741
2002-01-04,15.966900,16.003000,15.921800,15.957900,-107.803307,2737769
2002-01-07,15.993900,16.417900,15.966900,16.399900,-110.789215,2181871
2002-01-08,16.327700,16.769699,16.309700,16.688601,-112.739532,4006854
2002-01-09,16.679501,16.733700,16.562300,16.688601,-112.739532,2132989
2002-01-10,16.643400,16.679501,16.291599,16.417900,-110.910820,1728086
2002-01-11,16.426901,16.589300,16.237499,16.436001,-111.033073,1232357
2002-01-14,16.408899,16.408899,16.156300,16.345800,-110.423737,878375
2002-01-15,16.273600,16.643400,16.273600,16.643400,-112.434166,1208406
2002-01-16,16.508101,16.598301,16.327700,16.598301,-112.129509,2235569
2002-01-17,16.508101,16.977200,16.472000,16.977200,-114.689171,3665445
2002-01-18,16.778799,16.941099,16.733700,16.778799,-113.348869,1656169
2002-01-21,16.760700,16.769699,16.417900,16.643400,-112.434166,1230532
2002-01-22,16.634399,16.787800,16.508101,16.616400,-112.251801,1859638
2002-01-23,16.625401,16.905100,16.553200,16.787800,-113.409660,2004578
2002-01-24,16.733700,17.130600,16.697599,17.031300,-115.054634,3832477
2002-01-25,16.868999,17.058399,16.778799,16.959200,-114.567551,1200106
2002-01-28,16.959200,16.995300,16.787800,16.914101,-114.262894,1246705
2002-01-29,16.878000,17.049400,16.878000,16.959200,-114.567551,1273281
2002-01-30,16.805799,16.968201,16.769699,16.778799,-113.348869,833285
2002-01-31,16.832899,16.896000,16.778799,16.778799,-113.348869,1037874
2002-02-01,16.787800,16.868999,16.625401,16.706600,-112.861122,593466
2002-02-04,16.598301,16.670500,16.011999,16.192400,-109.387459,1032308
2002-02-05,16.147301,16.282600,16.102200,16.237499,-109.692131,995089
2002-02-06,16.147301,16.219500,15.858600,16.147301,-109.082779,1987144
2002-02-07,15.921800,16.147301,15.921800,15.966900,-107.864090,496762
2002-02-08,16.057100,16.643400,15.984900,16.336700,-110.362282,689097
2002-02-11,16.264601,16.778799,16.264601,16.733700,-113.044220,548207
2002-02-12,16.760700,16.932100,16.688601,16.814800,-113.592079,1212147
2002-02-13,16.706600,17.302000,16.706600,17.302000,-116.883339,2392095
2002-02-14,16.688601,17.274900,16.688601,17.193701,-116.151711,1602988
2002-02-15,16.968201,17.184700,16.968201,17.094500,-115.481567,720526
2002-02-18,17.094500,17.139601,16.977200,17.112499,-115.603165,483385
2002-02-19,17.049400,17.094500,16.643400,16.688601,-112.739532,589195
2002-02-20,16.598301,17.049400,16.246500,16.832899,-113.714333,786369
2002-02-21,16.878000,17.040400,16.508101,16.607401,-112.190979,547430
2002-02-22,16.462999,16.914101,16.462999,16.688601,-112.739532,570771
2002-02-25,16.688601,17.004299,16.643400,16.950100,-114.506111,187082
2002-02-26,16.751699,16.914101,16.688601,16.859900,-113.896736,433369
2002-02-27,16.787800,16.959200,16.724600,16.959200,-114.567551,479209
2002-02-28,16.868999,17.094500,16.868999,17.094500,-115.481567,504115
2002-03-01,17.013300,17.193701,17.004299,17.184700,-116.090919,630211
2002-03-04,17.031300,17.184700,16.868999,16.868999,-113.958214,2151409
2002-03-05,16.868999,17.067400,16.670500,16.941099,-114.445274,1464997
2002-03-06,16.914101,17.022301,16.715599,16.868999,-113.958214,885912
2002-03-07,16.868999,17.094500,16.868999,17.004299,-114.872215,587162
2002-03-08,17.094500,17.166700,16.823900,17.004299,-114.872215,1103288
2002-03-11,16.959200,17.121500,16.715599,16.760700,-113.226601,950734
2002-03-12,16.823900,16.959200,16.769699,16.778799,-113.348869,789282
2002-03-13,16.778799,17.049400,16.760700,16.905100,-114.202087,804802
2002-03-14,16.832899,17.211800,16.805799,17.211800,-116.273987,973868
2002-03-15,17.139601,17.320000,16.995300,17.320000,-117.004921,2441108
