Date,Open,High,Low,Close,Adj Close,Volume
1993-10-18,21.426001,21.426001,21.376499,21.426001,3.940549,16151432
1993-10-19,21.129101,21.228001,20.832199,20.881701,3.840444,8760516
1993-10-20,20.881701,21.129101,20.782700,21.030100,3.867736,6174816
1993-10-21,20.980600,21.376499,20.980600,21.376499,3.931444,8263392
1993-10-22,21.426001,21.970301,21.376499,21.871300,4.022444,10181092
1993-10-25,21.821800,22.019800,21.673401,21.920799,4.031549,4038110
1993-10-26,21.871300,22.267200,21.871300,22.069201,4.058842,4079494
1993-10-27,21.920799,21.970301,21.821800,21.871300,4.022444,2887843
1993-10-28,21.821800,21.970301,21.722900,21.821800,4.013341,2431763
1993-10-29,21.772400,21.871300,21.673401,21.821800,4.013341,3924401
1993-11-01,null,null,null,null,null,null
1993-11-02,21.524900,22.019800,21.524900,21.871300,4.022444,4851434
1993-11-03,null,null,null,null,null,null
1993-11-04,null,null,null,null,null,null
1993-11-05,null,null,null,null,null,null
1993-11-08,null,null,null,null,null,null
1993-11-09,null,null,null,null,null,null
1993-11-10,null,null,null,null,null,null
1993-11-11,null,null,null,null,null,null
1993-11-12,null,null,null,null,null,null
1993-11-15,21.426001,21.722900,21.426001,21.673401,3.986048,356800
1993-11-16,21.772400,22.564100,21.772400,22.564100,4.149862,17008
1993-11-17,22.118700,22.415600,22.118700,22.217699,4.086153,5481
1993-11-18,null,null,null,null,null,null
1993-11-19,null,null,null,null,null,null
1993-11-22,null,null,null,null,null,null
1993-11-23,null,null,null,null,null,null
1993-11-24,null,null,null,null,null,null
1993-11-25,null,null,null,null,null,null
1993-11-26,null,null,null,null,null,null
1993-11-29,21.129101,21.228001,20.881701,20.980600,3.858632,85662
1993-11-30,null,null,null,null,null,null
1993-12-01,null,null,null,null,null,null
1993-12-02,null,null,null,null,null,null
1993-12-03,null,null,null,null,null,null
1993-12-06,null,null,null,null,null,null
1993-12-07,null,null,null,null,null,null
1993-12-08,null,null,null,null,null,null
1993-12-09,null,null,null,null,null,null
1993-12-10,null,null,null,null,null,null
1993-12-13,21.871300,22.019800,21.722900,21.970301,4.040654,241265
1993-12-14,22.267200,22.366100,21.821800,21.871300,4.022444,5946
1993-12-15,21.722900,21.821800,20.980600,21.129101,3.885943,4539
1993-12-16,null,null,null,null,null,null
1993-12-17,null,null,null,null,null,null
1993-12-20,null,null,null,null,null,null
1993-12-21,null,null,null,null,null,null
1993-12-22,null,null,null,null,null,null
