Date,Open,High,Low,Close,Adj Close,Volume
1991-01-07,6.410000,6.560000,6.360000,6.410000,-0.000000,1010000
1991-01-08,6.310000,6.450000,6.270000,6.390000,-0.000000,2090000
1991-01-09,6.390000,6.710000,6.390000,6.710000,-0.000000,1602500
1991-01-10,6.460000,6.540000,6.400000,6.440000,-0.000000,1105000
1991-01-11,6.460000,6.640000,6.460000,6.560000,-0.000000,1805000
1991-01-14,6.310000,6.460000,6.270000,6.280000,-0.000000,1842500
1991-01-15,6.310000,6.430000,6.240000,6.410000,-0.000000,2067500
1991-01-16,6.520000,6.690000,6.250000,6.520000,-0.000000,1390000
1991-01-17,7.410000,7.470000,6.840000,7.410000,-0.000000,9580000
1991-01-18,7.380000,7.380000,7.230000,7.380000,-0.000000,6325000
1991-01-21,7.230000,7.380000,7.230000,7.230000,-0.000000,1517500
1991-01-22,null,null,null,null,null,null
1991-01-23,null,null,null,null,null,null
1991-01-24,7.020000,7.200000,6.950000,7.020000,-0.000000,1047500
1991-01-25,7.100000,7.140000,7.040000,7.100000,-0.000000,1600000
1991-01-28,7.150000,7.160000,6.830000,6.880000,-0.000000,3185000
1991-01-29,6.910000,6.910000,6.700000,6.840000,-0.000000,5413500
1991-01-30,6.920000,7.180000,6.880000,7.180000,-0.000000,8007500
1991-01-31,7.200000,7.380000,7.200000,7.320000,-0.000000,6350000
1991-02-01,7.380000,7.800000,7.380000,7.730000,-0.000000,7487500
1991-02-04,7.760000,7.760000,7.490000,7.530000,-0.000000,3897500
1991-02-05,null,null,null,null,null,null
1991-02-06,7.670000,7.680000,7.560000,7.560000,-0.000000,4545000
1991-02-07,7.620000,7.620000,7.620000,7.620000,-0.000000,2142300
1991-02-08,7.610000,7.910000,7.610000,7.910000,-0.000000,3012500
1991-02-11,7.970000,8.080000,7.840000,8.070000,-0.000000,3877500
1991-02-12,8.130000,8.200000,8.080000,8.130000,-0.000000,9045000
1991-02-13,8.160000,8.310000,8.160000,8.230000,-0.000000,4155000
1991-02-14,8.290000,8.310000,7.930000,7.990000,-0.000000,2317500
1991-02-15,7.820000,8.140000,7.820000,8.140000,-0.000000,5565000
1991-02-18,7.990000,8.370000,7.990000,8.310000,-0.000000,7295000
1991-02-19,8.310000,8.370000,7.960000,7.960000,-0.000000,4152500
1991-02-20,7.910000,8.110000,7.880000,8.000000,-0.000000,2075000
